n,mean_ms,std_ms
250,0.0478,0.00177
500,0.1041,0.00214
1000,0.2114,0.00137
2500,0.5557,0.00903
5000,1.1137,0.01049
10000,2.3007,0.00638
25000,5.5838,0.00896
50000,11.3893,0.10237
