n,mean_ms,std_ms
1000,0.9554,0.00159
5000,5.3372,0.04877
10000,10.5348,0.0384
25000,26.2043,0.34117
50000,49.8912,0.158
100000,99.9742,0.91384
250000,249.267,3.78067
500000,510.7,3.05135
