n,mean_ms,std_ms
500,6.4688,0.05724
1000,12.8048,0.05225
2000,25.347,0.39963
5000,64.1832,0.66368
10000,128.8408,0.88326
20000,258.6415,1.54986
50000,645.3547,3.16125
100000,1294.5034,18.72644
